image_name,time,pos_x,pos_y,pos_z,att_phi,att_theta,att_psi
'100049163.jpg',100.049163,0.078125,-1.066406,-1.003906,0.008807465540194464,-0.003436465540194465,0.4858215344598055
'100482507.jpg',100.482507,0.25,-0.949219,-0.96875,0.005017167519967227,-0.007677832480032774,0.485107
'100982494.jpg',100.982494,0.457031,-0.808594,-0.960938,0.0028570123911930327,-0.009118506195596517,0.484863
'101449184.jpg',101.449184,0.648438,-0.6875,-0.960938,0.004669134861352564,-0.009521,0.4844819325693237
'101915820.jpg',101.91582,0.808594,-0.589844,-0.953125,-0.0009226251918552123,-0.013129625191855213,0.485107
'102382486.jpg',102.382486,1.039062,-0.449219,-0.941406,-0.0014628778266653373,-0.013911755653330674,0.48486512217333466
'102849149.jpg',102.849149,1.238281,-0.328125,-0.945312,-0.006642158190934255,-0.008200478051775201,0.484863
'103315832.jpg',103.315832,1.398765233258223,-0.24316316670080831,-0.9576827166700785,0.0013633374974400582,-0.018982012492320174,0.48584
'103782482.jpg',103.782482,1.628906,-0.128906,-0.9740946526725371,0.0035078697522015036,-0.00046239074339548864,0.483643
'104215805.jpg',104.215805,1.7753158867595833,-0.030385780487802917,-0.9775761864111492,0.016113,0.06489662543553978,0.486328
'104682471.jpg',104.682471,1.796875,0.019531,-0.964844,-0.008057,0.026842370465258957,0.485352
'105149136.jpg',105.149136,1.769531,0.039062,-0.964844,-0.01048324697683946,0.015472168682107027,0.485107
'105615793.jpg',105.615793,1.726562,0.019531,-0.964844,-0.010302520172025036,0.007324,0.485107
'106049124.jpg',106.049124,1.707031,0.0,-0.96875,-0.005988248412860843,0.005371,0.485352
'106515776.jpg',106.515776,1.6875,-0.019531,-0.9658495761792699,-0.00420629356390046,0.005127,0.485352
'106949116.jpg',106.949116,1.667969,-0.046875,-0.980469,6.396553846152049e-05,0.00470296553846152,0.4850169827692308
'107415764.jpg',107.415764,1.65625,-0.066406,-0.9749372352941192,0.0003454957983192262,0.0011600966386557672,0.48374449579831924
'107882434.jpg',107.882434,1.648438,-0.089844,-0.7062369318600363,0.002686,-0.0030292076938817844,0.484619
'108349084.jpg',108.349084,1.65625,-0.089844,-0.4063403999999991,-0.00023270578597041184,-0.0009713413210446018,0.4853548235535074
'108815749.jpg',108.815749,1.648438,-0.078125,-0.20791105595409132,0.00037807747489210133,0.0006770387374460507,0.484619
